Date,Fajr,Fajr Iqama,Dhuhr,Dhuhr Iqama,Asr,Asr Iqama,Maghrib,Maghrib Iqama,Isha,Isha Iqama,Sunrise
02/10,06:18,06:45,12:52,14:00,15:53,16:30,18:16,,19:26,20:00,07:27
02/11,06:18,06:45,12:52,14:00,15:53,16:30,18:16,,19:26,20:00,07:27
02/12,06:17,06:45,12:52,14:00,15:54,16:30,18:17,,19:27,20:00,07:26
02/13,06:15,06:45,12:52,14:00,15:55,16:30,18:19,,19:29,20:00,07:25
02/14,06:14,06:45,12:52,14:00,15:56,16:30,18:20,,19:30,20:00,07:24
02/15,06:13,06:30,12:52,14:00,15:57,16:30,18:21,,19:30,20:00,07:23
02/16,06:12,06:30,12:52,14:00,15:57,16:30,18:22,,19:31,20:00,07:22
02/17,06:11,06:30,12:52,14:00,15:58,16:30,18:22,,19:32,20:00,07:21
02/18,06:10,06:30,12:52,14:00,15:59,16:30,18:23,,19:33,20:00,07:19
02/19,06:10,06:30,12:52,14:00,15:59,16:30,18:23,,19:33,20:00,07:19
02/20,06:08,06:30,12:52,14:00,16:00,16:30,18:25,,19:35,20:00,07:17
02/21,06:07,06:30,12:51,14:00,16:00,16:30,18:26,,19:36,20:00,07:16
02/22,06:06,06:30,12:51,14:00,16:01,16:30,18:27,,19:36,20:00,07:15
02/23,06:05,06:30,12:51,14:00,16:02,16:30,18:28,,19:37,20:00,07:14
02/24,06:04,06:30,12:51,14:00,16:02,16:30,18:29,,19:38,20:00,07:13
02/25,06:03,06:30,12:51,14:00,16:03,16:30,18:30,,19:39,20:00,07:12
02/26,06:03,06:30,12:51,14:00,16:03,16:30,18:30,,19:39,20:00,07:12
02/27,06:02,06:30,12:51,14:00,16:03,16:30,18:31,,19:40,20:00,07:10
02/28,05:59,06:30,12:50,14:00,16:04,16:30,18:32,,19:41,20:00,07:08
02/29,05:59,06:30,12:50,14:00,16:04,16:30,18:32,,19:41,20:00,07:08
03/01,05:58,06:15,12:50,14:00,16:05,17:00,18:33,,19:42,20:15,07:07
03/02,05:57,06:15,12:50,14:00,16:05,17:00,18:34,,19:43,20:15,07:06
03/03,05:56,06:15,12:50,14:00,16:06,17:00,18:35,,19:44,20:15,07:04
03/04,05:55,06:15,12:50,14:00,16:06,17:00,18:36,,19:45,20:15,07:03
03/05,05:55,06:15,12:50,14:00,16:06,17:00,18:36,,19:45,20:15,07:03
03/06,05:53,06:15,12:49,14:00,16:07,17:00,18:37,,19:45,20:15,07:02
03/07,05:51,06:15,12:49,14:00,16:08,17:00,18:38,,19:47,20:15,06:59















11/01,05:47,06:15,12:21,14:00,15:22,16:00,17:46,,18:56,19:30,06:56
11/02,05:48,06:15,12:21,14:00,15:22,16:00,17:45,,18:55,19:30,06:56
11/03,05:49,06:15,12:21,14:00,15:21,16:00,17:44,,18:54,19:30,06:57
11/04,05:49,06:15,12:21,14:00,15:20,16:00,17:43,,18:53,19:30,06:58
11/05,05:50,06:15,12:21,14:00,15:20,16:00,17:42,,18:52,19:30,06:59
11/06,05:51,06:15,12:21,14:00,15:19,16:00,17:41,,18:52,19:30,07:00
11/07,05:52,06:15,12:21,14:00,15:18,16:00,17:40,,18:51,19:30,07:01
11/08,05:53,06:15,12:21,14:00,15:18,16:00,17:39,,18:50,19:30,07:02
11/09,05:54,06:15,12:21,14:00,15:17,16:00,17:39,,18:49,19:30,07:03
11/10,05:54,06:15,12:22,14:00,15:16,16:00,17:38,,18:49,19:30,07:04
11/11,05:54,06:15,12:22,14:00,15:16,16:00,17:38,,18:49,19:30,07:04
11/12,05:56,06:15,12:22,14:00,15:15,16:00,17:36,,18:48,19:30,07:06
11/13,05:57,06:15,12:22,14:00,15:15,16:00,17:36,,18:47,19:30,07:07
11/14,05:58,06:15,12:22,14:00,15:14,16:00,17:35,,18:46,19:30,07:08
11/15,05:58,06:15,12:22,14:00,15:14,16:00,17:34,,18:46,19:30,07:09
11/16,05:59,06:15,12:22,14:00,15:13,16:00,17:34,,18:45,19:30,07:09
11/17,06:00,06:15,12:23,14:00,15:13,16:00,17:33,,18:45,19:30,07:10
11/18,06:00,06:15,12:23,14:00,15:13,16:00,17:33,,18:45,19:30,07:10
11/19,06:02,06:15,12:23,14:00,15:12,16:00,17:32,,18:44,19:30,07:12
11/20,06:03,06:15,12:23,14:00,15:12,16:00,17:32,,18:44,19:30,07:13
11/21,06:03,06:15,12:23,14:00,15:11,16:00,17:31,,18:43,19:30,07:14
11/22,06:04,06:15,12:24,14:00,15:11,16:00,17:31,,18:43,19:30,07:15
11/23,06:05,06:15,12:24,14:00,15:11,16:00,17:30,,18:43,19:30,07:16
11/24,06:06,06:15,12:24,14:00,15:10,16:00,17:30,,18:43,19:30,07:17
11/25,06:06,06:15,12:24,14:00,15:10,16:00,17:30,,18:43,19:30,07:17
11/26,06:07,06:15,12:24,14:00,15:10,16:00,17:30,,18:42,19:30,07:18
11/27,06:08,06:30,12:25,14:00,15:10,16:00,17:29,,18:42,19:30,07:20
11/28,06:09,06:30,12:25,14:00,15:10,16:00,17:29,,18:42,19:30,07:21
11/29,06:10,06:30,12:26,14:00,15:10,16:00,17:29,,18:42,19:30,07:22
11/30,06:11,06:30,12:26,14:00,15:09,16:00,17:28,,18:42,19:30,07:22
12/01,06:11,06:30,12:26,14:00,15:09,16:00,17:28,,18:42,19:30,07:23
12/02,06:12,06:30,12:27,14:00,15:09,16:00,17:28,,18:41,19:30,07:24
12/03,06:12,06:30,12:27,14:00,15:09,16:00,17:28,,18:41,19:30,07:24
12/04,06:14,06:30,12:28,14:00,15:09,16:00,17:28,,18:42,19:30,07:26
12/05,06:14,06:30,12:28,14:00,15:09,16:00,17:28,,18:42,19:30,07:27
12/06,06:15,06:30,12:28,14:00,15:09,16:00,17:28,,18:42,19:30,07:28
12/07,06:16,06:30,12:29,14:00,15:09,16:00,17:28,,18:42,19:30,07:28
12/08,06:17,06:30,12:29,14:00,15:10,16:00,17:28,,18:42,19:30,07:29
12/09,06:17,06:30,12:30,14:00,15:10,16:00,17:28,,18:42,19:30,07:30
12/10,06:17,06:30,12:30,14:00,15:10,16:00,17:28,,18:42,19:30,07:30
12/11,06:18,06:30,12:30,14:00,15:10,16:00,17:28,,18:42,19:30,07:31
12/12,06:19,06:30,12:31,14:00,15:10,16:00,17:29,,18:43,19:30,07:32
12/13,06:20,06:30,12:31,14:00,15:11,16:00,17:29,,18:43,19:30,07:33
12/14,06:21,06:30,12:32,14:00,15:11,16:00,17:29,,18:43,19:30,07:34
12/15,06:21,06:45,12:32,14:00,15:11,16:00,17:29,,18:44,19:30,07:34
12/16,06:22,06:45,12:33,14:00,15:12,16:00,17:30,,18:44,19:30,07:35
12/17,06:22,06:45,12:33,14:00,15:12,16:00,17:30,,18:44,19:30,07:35
12/18,06:22,06:45,12:33,14:00,15:12,16:00,17:30,,18:44,19:30,07:36
12/19,06:24,06:45,12:34,14:00,15:13,16:00,17:31,,18:45,19:30,07:37
12/20,06:24,06:45,12:35,14:00,15:13,16:00,17:31,,18:46,19:30,07:37
12/21,06:25,06:45,12:35,14:00,15:14,16:00,17:32,,18:46,19:30,07:38
12/22,06:25,06:45,12:36,14:00,15:14,16:00,17:32,,18:47,19:30,07:39
12/23,06:26,06:45,12:36,14:00,15:15,16:00,17:33,,18:47,19:30,07:39
12/24,06:26,06:45,12:37,14:00,15:15,16:00,17:33,,18:48,19:30,07:40
12/25,06:26,06:45,12:37,14:00,15:15,16:00,17:33,,18:48,19:30,07:40
12/26,06:27,06:45,12:38,14:00,15:16,16:00,17:34,,18:49,19:30,07:40
12/27,06:27,06:45,12:38,14:00,15:17,16:00,17:35,,18:49,19:30,07:41
12/28,06:28,06:45,12:39,14:00,15:18,16:00,17:36,,18:50,19:30,07:41
12/29,06:28,06:45,12:39,14:00,15:18,16:00,17:36,,18:51,19:30,07:41
12/30,06:28,06:45,12:40,14:00,15:19,16:00,17:37,,18:51,19:30,07:42
12/31,06:29,06:45,12:40,14:00,15:20,16:00,17:38,,18:52,19:30,07:42

